item_id,item_name,gold_value,system,sub_system,is_special,hero_rate,item_type
1,金币,1,金币,金币,,0,once
2,新货币-珍珠币,10,珍珠,珍珠,1,0,once
3,银币,0.002,其他,通用资源,1,0,once
4,铜币,0.000125,玩法,排位赛,1,0,once
5,绑定铜币,0.000125,玩法,排位赛,1,0,once
6,粮食,0.000125,玩法,排位赛,1,0,once
7,绑定粮食,0.000125,玩法,排位赛,1,0,once
8,预备役,0.004,玩法,排位赛,1,0,once
9,君主等级,1000000,玩法,角色,1,0,once
10,君主经验,1,玩法,角色,1,0,once
11,官职积分,1000000,玩法,排位赛,1,0,once
14,官职,1000000,玩法,排位赛,1,0,once
15,天赋点,1.67,武将,武将天赋,,0,once
16,君主体力,1,玩法,副本,1,0,once
17,VIP等级,1000000,玩法,充值,1,0,once
18,VIP积分,1000000,玩法,充值,1,0,once
19,每日活跃功勋点,1000000,玩法,排位赛,1,0,once
20,练兵点,1000000,玩法,练兵,1,0,once
21,足轻装备,1000000,玩法,排位赛,1,0,once
22,骑马装备,1000000,玩法,排位赛,1,0,once
23,弓箭装备,1000000,玩法,排位赛,1,0,once
24,武士装备,1000000,玩法,排位赛,1,0,once
25,治安值,1000000,活动,政务活动,1,0,once
26,神砂,1,神威,神砂,,0,once
27,碎片积分-商店,10,活动,碎片商店,1,0,once
28,碎片积分-转盘,1,活动,神兵出世,1,0,once
29,雷精,100,武将,武将升星,,0,once
34,家族币,0.01,玩法,家族,1,0,once
35,家族天赋点,1,玩法,家族,1,0,once
36,活动战场币,0.01,玩法,活动战,1,0,once
37,练兵经验点,1000000,玩法,练兵,1,0,once
38,阅历值,0.25,活动,赛季通行证,1,0,once
39,家族荣誉币,0.2,玩法,家族,1,0,once
40,4周年庆-荣誉币,0.25,活动,周年通行证,1,0,once
41,珍珠,0,珍珠,珍珠,1,0,once
1008,织田信长SSR+,20000,武将,武将,,0,forever
1009,丰臣秀吉SSR+,20000,武将,武将,,0,forever
1010,宫本武藏SSR,10000,武将,武将,,0,forever
1011,望月千代女SR,1500,武将,武将,,0,forever
1012,阿市SSR+,20000,武将,武将,,0,forever
1013,阿松SSR,10000,武将,武将,,0,forever
1014,立花訚千代SSR,10000,武将,武将,,0,forever
1015,德川家康SSR+,20000,武将,武将,,0,forever
1016,真田幸村SSR+,20000,武将,武将,,0,forever
1017,真田昌幸SR,1500,武将,武将,,0,forever
1018,上杉谦信SSR+,20000,武将,武将,,0,forever
1019,宁宁SSR,10000,武将,武将,,0,forever
1020,浓姬SSR,10000,武将,武将,,0,forever
1021,伊达政宗SSR,10000,武将,武将,,0,forever
1022,武田信玄SSR,10000,武将,武将,,0,forever
1023,明智光秀SSR,10000,武将,武将,,0,forever
1024,长宗我部元亲SR,1500,武将,武将,,0,forever
1025,片仓小十郎R,750,武将,武将,,0,forever
1026,猿飞佐助R,750,武将,武将,,0,forever
1027,毛利元就SSR,10000,武将,武将,,0,forever
1028,真田信幸SR,1500,武将,武将,,0,forever
1029,茶茶SR,1500,武将,武将,,0,forever
1030,阿初R,750,武将,武将,,0,forever
1031,阿江R,750,武将,武将,,0,forever
1032,石田三成SSR,10000,武将,武将,,0,forever
1033,松永久秀R,750,武将,武将,,0,forever
1034,岛左近SR,1500,武将,武将,,0,forever
1035,佐佐木小次郎SR,1500,武将,武将,,0,forever
1036,立花宗茂SR,1500,武将,武将,,0,forever
1037,本愿寺显如R,750,武将,武将,,0,forever
