flag_id,flag_cn,grade
50031,立花马印-UR,UR
50116,S19京极高次UR,UR
50117,S19六角义贤UR,UR
50136,S25三好长逸SSR+,SSR+
50134,S25斋藤义龙UR,UR
50142,S27上杉宪政SSR+,SSR+
50150,S31SSR+,SSR+
50011,金伞旗-UR,UR
50026,长宗马印-UR,UR
50133,S24香宗我部亲泰SSR+,SSR+
50004,毘字旗-UR,UR
50005,金朱马印-UR,UR
50102,S14三条夫人UR,UR
50113,S18吉川元春UR,UR
50144,S28SSR+,SSR+
50138,S26毛利辉元UR,UR
50010,斋藤旗-SSR+,SSR+
50143,S28UR,UR
50123,S21武田胜赖UR,UR
50129,S23岛津家久UR,UR
50101,S14爱姬UR,UR
50114,S18大内义隆UR,UR
50148,S30SSR+,SSR+
50137,S26尼子晴久UR,UR
50003,五色旗-UR,UR
50128,S23岛津义弘UR,UR
50149,S31UR,UR
50025,本愿寺旗-SSR+,SSR+
50118,S19波多野秀治SSR+,SSR+
50021,二鸟羽丸-UR,UR
50103,S14筑山殿SSR,SSR+
50107,S16龙造寺UR,UR
50108,S16立花道雪UR,UR
50122,S21上杉景胜UR,UR
50001,赤鸟旗-SSR+,SSR+
50014,三好旗-SSR+,SSR+
50139,S26畠山高政SSR+,SSR+
50017,金蝇取-UR,UR
50024,浅井旗-SSR+,SSR+
50109,S16安芸国虎SSR+,SSR+
50009,前田旗-SSR+,SSR+
50131,S24直江兼续UR,UR
50146,S29SSR+,SSR+
50140,S27伊达辉宗UR,UR
50147,S30UR,UR
50006,森氏旗-SSR+,SSR+
50015,松永旗-SSR+,SSR+
50032,三岛水军-UR,UR
50111,S17结城秀康UR,UR
50016,金扇旗-UR,UR
50029,大内旗-SSR+,SSR+
50124,S21北条纲成SSR+,SSR+
50132,S24小早川隆景UR,UR
50022,赤熊唐笠-UR,UR
50002,风林火山旗-UR,UR
50008,明智旗-SSR+,SSR+
50110,S17细川藤孝UR,UR
50115,S18山中鹿介SSR+,SSR+
50119,S20生驹吉乃UR,UR
50027,岛津马印-UR,UR
50007,柴田旗-SSR+,SSR+
50013,将军御旗-SSR+,SSR+
50104,S15泷川一益UR,UR
50126,S22豪姬UR,UR
50028,立花旗-SSR+,SSR+
50033,阿初旗-SSR+,SSR+
50127,S22见性院SSR+,SSR+
50151,周年战旗,
50141,S27村上义清UR,UR
50145,S29UR,UR
50120,S20虎御前UR,UR
50130,S23岛津岁久SSR+,SSR+
50020,竹中旗-SSR+,SSR+
50105,S15大谷吉继UR,UR
50112,S17筒井顺次SSR+,SSR+
50018,石田旗-SSR+,SSR+
50023,真田旗-SSR+,SSR+
50034,阿江旗-SSR+,SSR+
50135,S25北畠具教UR,UR
50012,黑鸟之羽-UR,UR
50019,黑田旗-SSR+,SSR+
50035,阿国旗-SSR+,SSR+
50106,S15神原康政SSR+,SSR+
50121,S20朝日姬SSR+,SSR+
50125,S22小松姬UR,UR
50030,岛左旗-SSR+,SSR+
